,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,999588.9179855348
2,2021-10-05,1000392.5170034333
3,2021-10-06,1000470.9811485521
4,2021-10-07,1003039.816052643
5,2021-10-08,1002957.1619669574
6,2021-10-11,1001141.3972526401
7,2021-10-12,1001375.1040493089
8,2021-10-13,1002579.914041588
9,2021-10-14,1010485.4027996218
10,2021-10-15,1015408.7829044114
11,2021-10-18,1016458.920496979
12,2021-10-19,1020127.6469482118
13,2021-10-20,1025099.1001678164
14,2021-10-21,1027398.26025087
15,2021-10-22,1029544.0822744448
16,2021-10-25,1039180.9267504809
17,2021-10-26,1040347.0530551989
18,2021-10-27,1031228.9306915591
19,2021-10-28,1042186.3511294787
20,2021-10-29,1043213.3868322375
21,2021-11-01,1052026.2610362933
22,2021-11-02,1052284.9761830599
23,2021-11-03,1060924.27398259
24,2021-11-04,1065022.3785708467
25,2021-11-05,1070387.5555395358
26,2021-11-08,1068576.196841843
27,2021-11-09,1061859.4538301164
28,2021-11-10,1056313.7936136401
29,2021-11-11,1055712.4520481036
30,2021-11-12,1059980.5952961885
31,2021-11-15,1059742.9072561648
32,2021-11-16,1066345.3280212595
33,2021-11-17,1065044.9335077708
34,2021-11-18,1068276.3398923725
35,2021-11-19,1064350.3339880488
36,2021-11-22,1066478.509692631
37,2021-11-23,1067469.1712743037
38,2021-11-24,1067872.2821882174
39,2021-11-26,1039918.4254864962
40,2021-11-29,1049519.8255490917
41,2021-11-30,1029426.906836552
42,2021-12-01,1014396.5813869135
43,2021-12-02,1034493.1437600635
44,2021-12-03,1022911.8735370715
45,2021-12-06,1036922.4165157207
46,2021-12-07,1056035.755077
47,2021-12-08,1057771.6068383297
48,2021-12-09,1046667.4946178516
49,2021-12-10,1053523.0429707416
50,2021-12-13,1034781.2664135821
51,2021-12-14,1029899.7504900821
52,2021-12-15,1038681.4407251666
53,2021-12-16,1030230.3475862582
54,2021-12-17,1017727.3038988002
55,2021-12-20,1002227.7172983134
56,2021-12-21,1023978.674625767
57,2021-12-22,1035961.4063182032
58,2021-12-23,1047082.7404531024
59,2021-12-27,1059144.3673700832
60,2021-12-28,1061289.5126991693
61,2021-12-29,1062742.6589840585
62,2021-12-30,1058850.1188615991
63,2021-12-31,1059392.6872322962
64,2022-01-03,1075422.270706013
65,2022-01-04,1082851.6545745472
66,2022-01-05,1065116.434380669
67,2022-01-06,1066580.8852777865
68,2022-01-07,1059831.3214078562
69,2022-01-10,1052259.5131914867
70,2022-01-11,1063401.6054540598
71,2022-01-12,1068685.6605411915
72,2022-01-13,1057204.29159845
73,2022-01-14,1054501.4621138729
74,2022-01-18,1039068.4450493816
75,2022-01-19,1025758.0474369624
76,2022-01-20,1011012.570619942
77,2022-01-21,989478.5508596271
78,2022-01-24,997097.9458998607
79,2022-01-25,989768.8042067455
80,2022-01-26,984404.3699149059
81,2022-01-27,972367.8853758739
82,2022-01-28,985335.3200415538
83,2022-01-31,1007862.220127003
84,2022-02-01,1019566.6230144923
85,2022-02-02,1019958.4547507251
86,2022-02-03,998537.6202992251
87,2022-02-04,1010512.327189213
88,2022-02-07,1011081.7371733439
89,2022-02-08,1019895.1185057414
90,2022-02-09,1032281.936128895
91,2022-02-10,1017726.6738977206
92,2022-02-11,1001313.6651887668
93,2022-02-14,998995.8259057773
94,2022-02-15,1014008.6724557651
95,2022-02-16,1018105.423084965
96,2022-02-17,998381.8838851359
97,2022-02-18,992979.023088093
98,2022-02-22,973598.3753924983
99,2022-02-23,952982.331759991
100,2022-02-24,962832.3817329638
101,2022-02-25,986130.9739952319
102,2022-02-28,991153.9243942645
103,2022-03-01,977593.4772430804
104,2022-03-02,998177.7421661761
105,2022-03-03,988513.7956940081
106,2022-03-04,982697.6560458834
107,2022-03-07,950780.5594119723
108,2022-03-08,949991.6510638888
109,2022-03-09,968472.0436572726
110,2022-03-10,974116.7697887118
111,2022-03-11,961209.8065395053
112,2022-03-14,951960.726514786
113,2022-03-15,968294.4633731539
114,2022-03-16,988743.9863223727
115,2022-03-17,1005740.8301868136
116,2022-03-18,1017006.2743256991
117,2022-03-21,1018972.207412411
118,2022-03-22,1032928.9866291392
119,2022-03-23,1024813.0142892268
120,2022-03-24,1032913.1537469295
121,2022-03-25,1038431.0757745174
122,2022-03-28,1047836.7569774211
123,2022-03-29,1059497.5579188883
124,2022-03-30,1052361.0039866983
125,2022-03-31,1034898.4724925578
126,2022-04-01,1035915.9170150798
127,2022-04-04,1046245.4951233027
128,2022-04-05,1028456.024991894
129,2022-04-06,1014571.1286857188
130,2022-04-07,1020477.2455940897
131,2022-04-08,1019711.7804146464
132,2022-04-11,1005422.2274056132
133,2022-04-12,1007501.2259560282
134,2022-04-13,1024355.2610359843
135,2022-04-14,1016900.063571995
136,2022-04-18,1019428.9307137186
137,2022-04-19,1038456.8455620463
138,2022-04-20,1035781.1576042826
139,2022-04-21,1022365.1869164164
140,2022-04-22,997233.5677986796
141,2022-04-25,996600.3194917643
142,2022-04-26,964873.6532472575
143,2022-04-27,968613.7092775309
144,2022-04-28,986561.8287304653
145,2022-04-29,949424.803506306
146,2022-05-02,957151.2916195262
147,2022-05-03,962356.1890728343
148,2022-05-04,991970.7013485301
149,2022-05-05,954147.7987044719
150,2022-05-06,950044.2848952678
151,2022-05-09,912365.9680694011
152,2022-05-10,909634.6391738323
153,2022-05-11,894450.1058028606
154,2022-05-12,897433.861051884
155,2022-05-13,922274.6824324992
156,2022-05-16,916519.0325530437
157,2022-05-17,935605.9573272136
158,2022-05-18,890451.8388961223
159,2022-05-19,887403.4812301067
160,2022-05-20,879093.0925429729
161,2022-05-23,892865.0872558025
162,2022-05-24,884159.1073439983
163,2022-05-25,899211.7024062541
164,2022-05-26,926355.8991759685
165,2022-05-27,949867.1601775554
166,2022-05-31,946438.2280105022
167,2022-06-01,940860.6488097575
168,2022-06-02,960123.4647963909
169,2022-06-03,947012.9273055461
170,2022-06-06,952559.7119658855
171,2022-06-07,960122.9639647868
172,2022-06-08,950963.3908065227
173,2022-06-09,932202.2849791911
174,2022-06-10,903404.6661614878
175,2022-06-13,866859.8514527781
176,2022-06-14,864789.3329019053
177,2022-06-15,874474.9428529246
178,2022-06-16,838067.2040643198
179,2022-06-17,834284.8108987315
180,2022-06-21,857658.5391015513
181,2022-06-22,849886.6798905833
182,2022-06-23,850215.512467335
183,2022-06-24,878054.9837846262
184,2022-06-27,876229.2263192637
185,2022-06-28,860009.0598115427
186,2022-06-29,853803.4854974253
187,2022-06-30,845356.6250199778
188,2022-07-01,857486.3289079173
189,2022-07-05,856283.5415276987
190,2022-07-06,854543.2166451914
191,2022-07-07,872049.127461384
192,2022-07-08,870400.7845391734
193,2022-07-11,856676.9043359263
194,2022-07-12,850886.3090371592
195,2022-07-13,850576.0019921763
196,2022-07-14,844989.0017632945
197,2022-07-15,858785.557187031
198,2022-07-18,860684.1032952769
199,2022-07-19,886890.6372422678
200,2022-07-20,896036.362454365
201,2022-07-21,905842.8084916575
202,2022-07-22,901472.0796250803
203,2022-07-25,904189.3897065623
204,2022-07-26,887626.2308244212
205,2022-07-27,910294.8167542918
206,2022-07-28,924646.3348435862
207,2022-07-29,951624.3991593821
208,2022-08-01,951044.4502610667
209,2022-08-02,943800.2625016673
210,2022-08-03,953914.2089128001
211,2022-08-04,951340.3364228709
212,2022-08-05,947046.0733460886
213,2022-08-08,949799.587895344
214,2022-08-09,944185.6070909007
215,2022-08-10,965283.2229203684
216,2022-08-11,969349.6073350413
217,2022-08-12,986169.9853707431
218,2022-08-15,987766.0821305392
219,2022-08-16,994920.038887131
220,2022-08-17,987976.4904137729
221,2022-08-18,992681.7532731174
222,2022-08-19,977885.3002892612
223,2022-08-22,958218.02604686
224,2022-08-23,964658.663673508
