date,a2c,dji
2021-10-01,1000000.0,1000000.0
2021-10-04,999588.9179855348,990574.6455164986
2021-10-05,1000392.5170034333,999656.560502364
2021-10-06,1000470.9811485521,1002637.2466394025
2021-10-07,1003039.816052643,1012482.5122383039
2021-10-08,1002957.1619669574,1012229.3138015111
2021-10-11,1001141.3972526401,1004940.7265304396
2021-10-12,1001375.1040493089,1001511.3386242893
2021-10-13,1002579.914041588,1001495.8622254562
2021-10-14,1010485.4027996218,1017074.2232156451
2021-10-15,1015408.7829044114,1028208.5817997096
2021-10-18,1016458.920496979,1027155.3900997022
2021-10-19,1020127.6469482118,1032943.9046544586
2021-10-20,1025099.1001678164,1037372.8858499513
2021-10-21,1027398.26025087,1037190.4691784104
2021-10-22,1029544.0822744448,1039344.5335424772
2021-10-25,1039180.9267504809,1041212.7397163314
2021-10-26,1040347.0530551989,1041671.0004376635
2021-10-27,1031228.9306915591,1033916.4142458431
2021-10-28,1042186.3511294787,1040901.9599721152
2021-10-29,1043213.3868322375,1043496.9879058771
2021-11-01,1052026.2610362933,1046243.5935105638
2021-11-02,1052284.9761830599,1050286.8027057296
2021-11-03,1060924.27398259,1053344.1880546326
2021-11-04,1065022.3785708467,1052372.7026367004
2021-11-05,1070387.5555395358,1058307.4464010203
2021-11-08,1068576.196841843,1061345.0310631809
2021-11-09,1061859.4538301164,1058075.300418523
2021-11-10,1056313.7936136401,1051082.471681035
2021-11-11,1055712.4520481036,1046458.8975296255
2021-11-12,1059980.5952961885,1051675.8095010067
2021-11-15,1059742.9072561648,1051301.1896116037
2021-11-16,1066345.3280212595,1052896.7380530736
2021-11-17,1065044.9335077708,1046744.9833139386
2021-11-18,1068276.3398923725,1044994.1018988858
2021-11-19,1064350.3339880488,1037158.4922072919
2021-11-22,1066478.509692631,1037661.58896642
2021-11-23,1067469.1712743037,1043329.2510538177
2021-11-24,1067872.2821882174,1043054.7725686292
2021-11-26,1039918.4254864962,1016689.1339976199
2021-11-29,1049519.8255490917,1023581.821330893
2021-11-30,1029426.906836552,1004581.241648719
2021-12-01,1014396.5813869135,991131.5682803923
2021-12-02,1034493.1437600635,1009127.8889941637
2021-12-03,1022911.8735370715,1007388.3872841356
2021-12-06,1036922.4165157207,1026235.4547455304
2021-12-07,1056035.755077,1040580.0281169752
2021-12-08,1057771.6068383297,1041608.9810452805
2021-12-09,1046667.4946178516,1041607.2740895269
2021-12-10,1053523.0429707416,1047908.4443556322
2021-12-13,1034781.2664135821,1038585.0520291493
2021-12-14,1029899.7504900821,1035474.6372548327
2021-12-15,1038681.4407251666,1046639.4934483625
2021-12-16,1030230.3475862582,1045771.6771432024
2021-12-17,1017727.3038988002,1030267.6256268226
2021-12-20,1002227.7172983134,1017645.256813769
2021-12-21,1023978.674625767,1033974.9059296683
2021-12-22,1035961.4063182032,1041583.9456942269
2021-12-23,1047082.7404531024,1047313.2857828566
2021-12-27,1059144.3673700832,1057562.5309101238
2021-12-28,1061289.5126991693,1060354.3139437574
2021-12-29,1062742.6589840585,1062988.374265753
2021-12-30,1058850.1188615991,1060350.4448440492
2021-12-31,1059392.6872322962,1058609.0085841666
2022-01-03,1075422.270706013,1065797.568248074
2022-01-04,1082851.6545745472,1072049.0092032226
2022-01-05,1065116.434380669,1060613.543624213
2022-01-06,1066580.8852777865,1055642.4332813583
2022-01-07,1059831.3214078562,1055502.3491125081
2022-01-10,1052259.5131914867,1050759.9708406439
2022-01-11,1063401.6054540598,1056095.4593383793
2022-01-12,1068685.6605411915,1057211.239416021
2022-01-13,1057204.29159845,1052063.629848238
2022-01-14,1054501.4621138729,1046184.4190444371
2022-01-18,1039068.4450493816,1030355.8183407617
2022-01-19,1025758.0474369624,1020456.1577518436
2022-01-20,1011012.570619942,1011330.3171045842
2022-01-21,989478.5508596271,998220.3279312357
2022-01-24,997097.9458998607,1001108.155675275
2022-01-25,989768.8042067455,999163.022695456
2022-01-26,984404.3699149059,995386.3261919615
2022-01-27,972367.8853758739,995173.4119109552
2022-01-28,985335.3200415538,1011623.9134942136
2022-01-31,1007862.220127003,1023462.903413388
2022-02-01,1019566.6230144923,1031426.9899747075
2022-02-02,1019958.4547507251,1037955.1853560493
2022-02-03,998537.6202992251,1022859.8928441457
2022-02-04,1010512.327189213,1022235.829820608
2022-02-07,1011081.7371733439,1022276.3415704949
2022-02-08,1019895.1185057414,1033103.3343218503
2022-02-09,1032281.936128895,1041996.6875954616
2022-02-10,1017726.6738977206,1026659.5763517894
2022-02-11,1001313.6651887668,1011990.6813871495
2022-02-14,998995.8259057773,1006983.2697852672
2022-02-15,1014008.6724557651,1019296.4520128081
2022-02-16,1018105.423084965,1017706.7072209007
2022-02-17,998381.8838851359,999579.633696399
2022-02-18,992979.023088093,992796.1915313601
2022-02-22,973598.3753924983,978737.931538329
2022-02-23,952982.331759991,965195.9687622546
2022-02-24,962832.3817329638,967878.051439453
2022-02-25,986130.9739952319,992201.0329585845
2022-02-28,991153.9243942645,987360.7892235103
2022-03-01,977593.4772430804,969949.9543332437
2022-03-02,998177.7421661761,987324.3741674323
2022-03-03,988513.7956940081,984507.5557827451
2022-03-04,982697.6560458834,979267.8844013149
2022-03-07,950780.5594119723,956037.3545645248
2022-03-08,949991.6510638888,950655.55066734
2022-03-09,968472.0436572726,969696.5283023505
2022-03-10,974116.7697887118,966428.5046134462
2022-03-11,961209.8065395053,959731.6620036429
2022-03-14,951960.726514786,959762.1596131083
2022-03-15,968294.4633731539,977215.2132090154
2022-03-16,988743.9863223727,992327.8028725561
2022-03-17,1005740.8301868136,1004495.0972816844
2022-03-18,1017006.2743256991,1012482.170847153
2022-03-21,1018972.207412411,1006599.204740694
2022-03-22,1032928.9866291392,1014012.513578833
2022-03-23,1024813.0142892268,1000933.3634061004
2022-03-24,1032913.1537469295,1011113.3061297692
2022-03-25,1038431.0757745174,1015579.1575695408
2022-03-28,1047836.7569774211,1018336.5738940007
2022-03-29,1059497.5579188883,1028191.9674303739
2022-03-30,1052361.0039866983,1026287.2324033914
2022-03-31,1034898.4724925578,1010251.2934741717
2022-04-01,1035915.9170150798,1014327.3900168579
2022-04-04,1046245.4951233027,1017345.7429775272
2022-04-05,1028456.024991894,1009168.4007440506
2022-04-06,1014571.1286857188,1004953.9269882677
2022-04-07,1020477.2455940897,1007490.1218470535
2022-04-08,1019711.7804146464,1011497.257377292
2022-04-11,1005422.2274056132,999464.4710815522
2022-04-12,1007501.2259560282,996909.0445212752
2022-04-13,1024355.2610359843,1006937.1819799184
2022-04-14,1016900.063571995,1003634.7915818405
2022-04-18,1019428.9307137186,1002482.9378392716
2022-04-19,1038456.8455620463,1017034.6218421602
2022-04-20,1035781.1576042826,1024305.6843674944
2022-04-21,1022365.1869164164,1013584.2952787653
2022-04-22,997233.5677986796,984995.1761430401
2022-04-25,996600.3194917643,991930.4235731044
2022-04-26,964873.6532472575,968354.405891774
2022-04-27,968613.7092775309,970153.3096620296
2022-04-28,986561.8287304653,988053.8132594957
2022-04-29,949424.803506306,960693.5884693546
2022-05-02,957151.2916195262,963149.1012195174
2022-05-03,962356.1890728343,965109.369207019
